brand,model,type,year,transmisi, avg_2nd_price , new_price ,residu,depresiasi_residu,estimasi_1,depresiasi,estimasi_2,estimasi_3,avg_estimasi,estimator,correction,output
Mazda,CX-5,Kuro Edition,2022,Automatic,354000000,588800000,58946484.38,52985351.56,429843945.3,58880000,412160000,381542400,407848781.8,370154634.5,346204569.2,346204569.2
Toyota,Veloz,Q (Non Premium Color),2023,Automatic,210000000,304400000,30474371.34,27392562.87,249614874.3,30440000,243520000,219168000,237434291.4,218230287.4,205375591.9,205375591.9
Toyota,Alphard,G,2021,Automatic,730000000,1259950000,126137267.3,113381273.3,806424906.9,125995000,755970000,734802840,765732582.3,740719774.7,713924676.6,713924676.6
Toyota,Alphard,G,2022,Automatic,790000000,1312050000,131353150.2,118069685,957840945.1,131205000,918435000,850208400,908828115,825648434.5,772603417.1,772603417.1
Toyota,Fortuner,GR Sport 4X2,2023,Automatic,442000000,607900000,60858641.05,54704135.89,498491728.2,60790000,486320000,437688000,474166576.1,451649972.8,432266722,432266722
Mercedes-Benz,GLC200,AMG Line,2021,Automatic,615000000,1035000000,103616867.1,93138313.29,662446746.8,103500000,621000000,603612000,629019582.3,619205874.7,601457090.5,601457090.5
Toyota,Alphard,G,2023,Automatic,790000000,1356100000,135763124.1,122033687.6,1112032625,135610000,1084880000,976392000,1057768208,870330462.5,772603417.1,772603417.1
Honda,Brio,RS,2023,Automatic,153000000,233900000,23416410.83,21048358.92,191803282.2,23390000,187120000,168408000,182443760.7,161833128.2,149630788.4,149630788.4
Toyota,Calya,G,2018,Automatic,90000000,150650000,15082010.65,13556798.93,55752407.46,15065000,45195000,64049269.32,54998892.26,79499667.68,88018110.81,79499667.68
Honda,HR-V,E,2017,Automatic,159000000,298000000,29833648.68,26816635.13,83466918.95,29800000,59600000,114025981,85697633.3,137009290,155498662.4,137009290
Toyota,Raize,GR Sport (2 Tone),2021,Automatic,175000000,263700000,26399775.7,23730022.43,168779910.3,26370000,158220000,153789840,160263250.1,170578975,171146326.6,170578975
Hyundai,Creta,Trend,2022,Automatic,185000000,299000000,29933761.6,26906623.84,218280128.5,29900000,209300000,193752000,207110709.5,191633212.8,180926116.7,180926116.7
Honda,CR-V,Turbo Prestige,2020,Automatic,345000000,540000000,54060974.12,48593902.59,297030487.1,54000000,270000000,283435200,283488562.4,326546568.7,337402758.1,326546568.7
Honda,BR-V,Prestige Honda Sensing,2022,Automatic,208000000,346600000,34699136.35,31190086.36,253029740.9,34660000,242620000,224596800,240082180.3,217624654.1,203419633.9,203419633.9
Honda,Brio,Satya E,2023,Automatic,139000000,191900000,19211668.4,17268833.16,157362333.7,19190000,153520000,138168000,149683444.6,142205033.4,135939082.3,135939082.3
Toyota,Kijang Innova,Venturer,2021,Automatic,285000000,494400000,49495825.2,44490417.48,316438330.1,49440000,296640000,288334080,300470803.4,289641241,278724017.6,278724017.6
Toyota,Kijang Innova,Venturer,2019,Automatic,285000000,453750000,45426235.2,40832376.48,208755741.1,45375000,181500000,214347870,201534537,259960361.1,278724017.6,259960361.1
