brand,variant,year,otr,low_price,residu,depresiasi_1,estimasi_1,depresiasi_2,estimasi_2,estimasi_3,avg_estimasi,estimator,correction,output
Yamaha,R15 ,2019,35960000,16600000,3600060,3235994,16544036,3596000,14384000,16987216,15971751,16411525,16234452,16411525
Honda,Scoopy ,2017,17800000,12800000,1782010,1601799,4985608,1780000,3560000,6810948,5118852,10495656,12518131,10495656
Yamaha,WR  R,2024,38900000,31000000,3894392,3500561,35399439,3890000,35010000,31120000,33843146,31852944,30317349,30317349
Honda,BeAT CBS,2014,13850000,7950000,1386564,1246344,13849992,1385000,13849992,3863357,10521114,8721334,7774933,7774933
Kawasaki,Ninja 150RR,2015,39900000,16500000,3994505,3590549,39899992,3990000,39899992,12366462,30722149,20766645,16136654,16136654
Yamaha,XSR 155,2024,38375000,27900000,3841833,3453317,34921683,3837500,34537500,30700000,33386394,29545918,27285614,27285614
Honda,Scoopy ,2018,18275000,13000000,1829564,1644544,6763194,1827500,5482500,7769667,6671787,11101536,12713727,11101536
Honda,Vario 110,2015,15800000,9800000,1581784,1421822,15799992,1580000,15799992,4896995,12165660,10509698,9584194,9584194
Honda,Vario 125 CBS ISS,2019,20146000,14500000,2016875,1812913,9268525,2014600,8058400,9516809,8947911,12834373,14180696,12834373
Yamaha,MioJ CW,2013,12800000,7500000,1281445,1151855,12799992,1280000,12799992,3213421,9604468,8131340,7334843,7334843
Kawasaki,Ninja 250 ABS MDP Smart Key,2020,77300000,35000000,7738728,6956127,42519364,7730000,38650000,40573224,40580863,36674259,34229265,34229265
Yamaha,NMAX 155 ABS Connected,2022,35250000,25000000,3528980,3172102,25733694,3525000,24675000,22842000,24416898,24825069,24449475,24825069
Yamaha,Fino ,2023,20150000,9900000,2017275,1813272,16523455,2015000,16120000,14508000,15717152,11645146,9681992,9681992
Yamaha,Freego ,2019,18805000,10950000,1882623,1692238,8651574,1880500,7522000,8883332,8352302,10170691,10708870,10170691
Honda,Genio CBS ISS,2024,19980000,14000000,2000256,1797974,18182026,1998000,17982000,15984000,17382675,15014803,13691706,13691706
Kawasaki,Ninja 250,2016,58400000,28000000,5846594,5255341,58399992,5840000,58399992,20111428,45637137,33291141,27383412,27383412
Yamaha,R15 ,2021,37685000,19000000,3772755,3391224,24120102,3768500,22611000,21977892,22902998,20170899,18581601,18581601
Yamaha,NMAX 155,2016,24950000,17000000,2497817,2245218,24949992,2495000,24949992,8592126,19497370,17749211,16625643,16625643
Yamaha,SoulGT ,2016,16450000,8900000,1646857,1480314,16449992,1645000,16449992,5664948,12854977,10086493,8704013,8704013
Honda,Scoopy ,2016,16250000,12000000,1626835,1462317,16249992,1625000,16249992,5596074,12698686,12209606,11735748,11735748
Yamaha,Fazzio Lux,2023,23050000,16500000,2307603,2074240,18901521,2305000,18440000,16596000,17979174,16943752,16136654,16136654
Honda,SupraX 125 CW,2014,16600000,9500000,1661874,1493813,16599992,1660000,16599992,4630450,12610145,10433043,9290801,9290801
Yamaha,XSR 155,2020,36580000,24800000,3662130,3291787,20121065,3658000,18290000,19200110,19203725,23121118,24253879,23121118
Suzuki,GSX R150 Keyless,2018,29900000,13900000,2993376,2690662,11065363,2990000,8970000,12712069,10915811,13004743,13593908,13004743
Kawasaki,W175 SE,2019,31100000,18000000,3113512,2798649,14308107,3110000,12440000,14691391,13813166,16743950,17603622,16743950
Honda,Vario 110 CBS,2017,16675000,9900000,1669383,1500562,4670506,1667500,3335000,6380481,4795329,8368599,9681992,8368599
Yamaha,MioM3 ,2018,15550000,8000000,1556756,1399324,5754729,1555000,4665000,6611126,5676952,7303086,7823832,7303086
Yamaha,Fino Grande,2022,20725000,12000000,2074840,1865016,15129952,2072500,14507500,13429800,14355751,12706725,11735748,11735748
Yamaha,Grand Filano Lux Connected,2024,27750000,23000000,2778133,2497187,25252813,2775000,24975000,22200000,24142604,23342781,22493517,22493517
Honda,BeATStreet ,2018,16125000,10600000,1614321,1451068,5967525,1612500,4837500,6855589,5886871,9186061,10366577,9186061
Yamaha,NMAX 155 ABS Connected,2024,36300000,25000000,3634099,3266590,33033410,3630000,32670000,29040000,31581137,26974341,24449475,24449475
Honda,Vario 125 CBS ISS,2020,21505000,15900000,2152928,1935207,11828964,2150500,10752500,11287544,11289670,14516901,15549866,14516901
Honda,PCX 160 ABS,2024,36365000,29000000,3640606,3272439,33092561,3636500,32728500,29092000,31637687,29791306,28361391,28361391
Honda,BeAT CBS ISS,2020,17150000,12000000,1716936,1543306,9433468,1715000,8575000,9001692,9003387,11101016,11735748,11101016
Yamaha,R15 Connected,2023,39880000,25000000,3992503,3588750,32702501,3988000,31904000,28713600,31106700,26832010,24449475,24449475
Honda,CB 150X,2024,34645000,23900000,3468412,3117659,31527341,3464500,31180500,27716000,30141280,25772384,23373698,23373698
Yamaha,Fino Grande,2018,18700000,10000000,1872112,1682789,6920478,1870000,5610000,7950357,6826945,9048084,9779790,9048084
Yamaha,XSR 155,2021,36905000,24800000,3694667,3321033,23620867,3690500,22143000,21522996,22428954,24088686,24253879,24088686
Kawasaki,KLXBF 150,2019,33800000,20000000,3383817,3041618,15550290,3380000,13520000,15966850,15012380,18503714,19559580,18503714
Yamaha,MioJ ,2013,12000000,6500000,1201355,1079865,11999992,1200000,11999992,3012582,9004189,7251257,6356864,6356864
Kawasaki,Ninja 250 ABS SE Smart Key,2020,77300000,38000000,7738728,6956127,42519364,7730000,38650000,40573224,40580863,38774259,37163202,37163202
Honda,Vario 125 CBS,2018,19200000,13800000,1922168,1727783,7105518,1920000,5760000,8162934,7009484,11762845,13496110,11762845
Honda,CT 125,2021,76800000,29000000,7688672,6911133,49155469,7680000,46080000,44789760,46675076,34302523,28361391,28361391
Yamaha,NMAX 155,2021,30200000,24000000,3023410,2717659,19329364,3020000,18120000,17612640,18354001,22306200,23471496,22306200
Honda,BeATStreet ,2022,17883000,11900000,1790319,1609268,13055196,1788300,12518100,11588184,12387160,12046148,11637950,11637950
Yamaha,MioS ,2018,16100000,9500000,1611818,1448818,5958273,1610000,4830000,6844960,5877744,8413323,9290801,8413323
Yamaha,R15 ,2018,35300000,14900000,3533986,3176601,13063790,3530000,10590000,15007894,12887228,14296168,14571887,14296168
Yamaha,NMAX 155 ABS,2017,29600000,20000000,2963342,2663666,8290674,2960000,5920000,11326071,8512248,16553674,19559580,16553674
Yamaha,NMAX 155 ABS Connected,2020,33750000,24900000,3378811,3037119,18564405,3375000,16875000,17714700,17718035,22745411,24351677,22745411
Honda,CBR 150R,2021,36180000,22200000,3622085,3255791,23156834,3618000,21708000,21100176,21988337,22136501,21711134,22136501
Yamaha,LEXi 125,2022,22540000,16900000,2256545,2028345,16454964,2254000,15778000,14605920,15612961,16513888,16527845,16513888
Yamaha,MioGT ,2014,14900000,7950000,1491682,1340832,14899992,1490000,14899992,4156247,11318744,8960623,7774933,7774933
Yamaha,AEROX 155,2024,27775000,21200000,2780636,2499436,25275564,2777500,24997500,22220000,24164355,22089306,20733155,20733155
Honda,CRFL 150,2024,36430000,29000000,3647113,3278289,33151711,3643000,32787000,29144000,31694237,29808271,28361391,28361391
Honda,SonicR 150,2023,25520000,15000000,2554882,2296512,20926976,2552000,20416000,18374400,19905792,16471738,14669685,14669685
Yamaha,NMAX Connected,2021,31450000,21800000,3148551,2830145,20129420,3145000,18870000,18341640,19113687,20994106,21319942,20994106
Honda,BeATPOP CBS,2016,14700000,8900000,1471660,1322834,14699992,1470000,14699992,5062294,11487426,9676228,8704013,8704013
Yamaha,MioM3 ,2016,14850000,8500000,1486677,1336332,14849992,1485000,14849992,5113950,11604645,9431393,8312822,8312822
Honda,PCX 150 CBS,2018,27700000,20000000,2773128,2492687,10251189,2770000,8310000,11776733,10112641,17033792,19559580,17033792
Honda,ADV 150 ABS,2020,37805000,26500000,3784769,3402023,20794884,3780500,18902500,19843088,19846824,24504047,25916444,24504047
Honda,Vario 110 CBS ISS,2018,17150000,11800000,1716936,1543306,6346856,1715000,5145000,7291371,6261075,10138323,11540152,10138323
Honda,Vario 125 CBS,2015,17100000,10800000,1711931,1538807,17099992,1710000,17099992,5299912,13166632,11509990,10562173,10562173
Yamaha,AEROX S,2019,28010000,10800000,2804163,2520584,12886498,2801000,11204000,13231700,12440733,11292220,10562173,10562173
Yamaha,Freego Connected,2024,23500000,17000000,2352654,2114735,21385265,2350000,21150000,18800000,20445088,18033527,16625643,16625643
Yamaha,R15 ,2016,31050000,8900000,3108506,2794149,31049992,3105000,31049992,10692805,24264263,13509279,8704013,8704013
Yamaha,AEROX 155,2021,25900000,20500000,2592924,2330708,16577170,2590000,15540000,15104880,15740683,19072205,20048570,19072205
Kawasaki,W175 SE,2022,34300000,22100000,3433873,3086613,25040162,3430000,24010000,22226400,23758854,22597656,21613336,21613336
Yamaha,X-Ride ,2016,16000000,8500000,1601807,1439819,15999992,1600000,15999992,5509980,12503321,9700996,8312822,8312822
Honda,Vario 160 CBS,2022,25800000,18800000,2582913,2321709,18834874,2580000,18060000,16718400,17871091,18521327,18386005,18521327
Yamaha,AEROX Connected,2022,26775000,19000000,2680523,2409448,19546657,2677500,18742500,17350200,18546452,18863936,18581601,18863936
Kawasaki,Ninja 250,2019,62700000,43000000,6277080,5642292,28846248,6270000,25080000,29618978,27848409,38454523,42053097,38454523
Yamaha,NMAX 155,2020,29750000,20000000,2978359,2677164,16364180,2975000,14875000,15615180,15618120,18685436,19559580,18685436
Honda,PCX 160 ABS,2023,36085000,28500000,3612575,3247243,29590515,3608500,28868000,25981200,28146572,28393971,27872402,28393971
Yamaha,Freego ,2018,18500000,10950000,1852089,1664791,6846462,1850000,5550000,7865327,6753930,9691179,10708870,9691179
Yamaha,Grand Filano Hybrid Lux,2025,28000000,23000000,2803162,2519684,28000000,2800000,28000000,22400000,26133333,23940000,22493517,22493517
Honda,Vario 150,2022,25336000,18000000,2536461,2279954,18496138,2533600,17735200,16417728,17549689,17864907,17603622,17864907
Yamaha,MioM3 ,2022,17135000,11500000,1715435,1541957,12509130,1713500,11994500,11103480,11869037,11610711,11246759,11246759
Honda,Vario 125 CBS ISS,2022,22889000,17300000,2291485,2059752,16709745,2288900,16022300,14832072,15854706,16866412,16919037,16866412
Yamaha,XMAX ,2023,66000000,58000000,6607452,5939255,54121490,6600000,52800000,47520000,51480497,56044149,56722783,56044149
Yamaha,AEROX STD,2020,24795000,14800000,2482300,2231270,13638650,2479500,12397500,13014400,13016850,14265055,14474089,14265055
Honda,SupraX 125 CW,2015,17050000,9500000,1706925,1534307,17049992,1705000,17049992,5284415,13128133,10588440,9290801,9290801
Honda,ADV 160 CBS,2023,36200000,28500000,3624088,3257591,29684818,3620000,28960000,26064000,28236273,28420882,27872402,28420882
Kawasaki,W175 SE,2023,35100000,20000000,3513963,3158604,28782793,3510000,28080000,25272000,27378264,22213479,19559580,19559580
Honda,Scoopy Fashion/Sporty,2022,21353000,17100000,2137711,1921529,15588413,2135300,14947100,13836744,14790752,16407226,16723441,16407226
Honda,PCX 160 ABS,2021,34445000,25400000,3448389,3099661,22046356,3444500,20667000,20088324,20933893,24060168,24840667,24060168
Honda,Vario 110 CBS,2018,16950000,12500000,1696914,1525309,6272840,1695000,5085000,7206340,6188060,10606418,12224738,10606418
Yamaha,NMAX TURBO NEO,2025,32700000,28900000,3273692,2942631,32700000,3270000,32700000,26160000,30520000,29386000,28263593,28263593
Yamaha,AEROX R,2020,26135000,19800000,2616451,2351855,14375726,2613500,13067500,13717739,13720321,17976096,19363984,17976096
Honda,Verza 150CW,2015,18550000,8500000,1857095,1669291,18549992,1855000,18549992,5749320,14283101,10234930,8312822,8312822
Yamaha,LEXI S,2024,27150000,20000000,2718066,2443193,24706807,2715000,24435000,21720000,23620602,21086181,19559580,19559580
Honda,CB 150X,2023,33910000,21000000,3394829,3051517,27806966,3391000,27128000,24415200,26450055,22635017,20537559,20537559
Honda,ADV 150 ABS,2019,36500000,24000000,3654121,3284588,16792473,3650000,14600000,17242308,16211594,21663478,23471496,21663478
Yamaha,LEXi 125 S,2018,22800000,12500000,2282574,2051743,8437802,2280000,6840000,9693484,8323762,11247129,12224738,11247129
Honda,Vario 160 CBS Active,2024,27280000,22000000,2731080,2454892,24825108,2728000,24552000,21824000,23733703,22520111,21515538,21515538
Honda,Genio CBS,2022,18050000,13600000,1807038,1624296,13177111,1805000,12635000,11696400,12502837,13270851,13300515,13270851
Yamaha,SoulGT AKS,2017,17100000,7800000,1711931,1538807,4789545,1710000,3420000,6543102,4917549,6935265,7628236,6935265
Honda,BeAT CBS - ISS,2018,16100000,11500000,1611818,1448818,5958273,1610000,4830000,6844960,5877744,9813323,11246759,9813323
Honda,Scoopy Fashion/Sporty,2021,20325000,15500000,2034795,1829021,13008918,2032500,12195000,11853540,12352486,14555746,15158675,14555746
Honda,BeATPOP CW,2018,15000000,10500000,1501694,1349831,5551186,1500000,4500000,6377292,5476159,8992848,10268780,8992848
Honda,CRFL 150,2020,34450000,25600000,3448890,3100111,18949445,3445000,17225000,18082116,18085520,23345656,25036263,23345656
Yamaha,NMAX 155 ABS,2019,31150000,20400000,3118517,2803148,14331110,3115000,12460000,14715011,13835374,18430612,19950772,18430612
Yamaha,XSR 155,2023,37775000,27200000,3781765,3399323,30976353,3777500,30220000,27198000,29464784,27879435,26601029,26601029
Honda,BeATPOP CBS,2018,15200000,10500000,1521716,1367828,5625201,1520000,4560000,6462323,5549175,9014752,10268780,9014752
Yamaha,R15 Connected,2022,39240000,24000000,3928431,3531157,28646529,3924000,27468000,25427520,27180683,24954205,23471496,23471496
Honda,Vario 125 CBS,2020,20600000,15900000,2062326,1853767,11331163,2060000,10300000,10812528,10814564,14374369,15549866,14374369
Yamaha,Fino ,2016,16650000,8500000,1666880,1498312,16649992,1665000,16649992,5733823,13011269,9853381,8312822,8312822
Suzuki,SatriaF 150,2016,21650000,10500000,2167445,1948256,21649992,2165000,21649992,7455692,16918559,12425568,10268780,10268780
Honda,SupraX 125 SW,2019,17680000,9000000,1769996,1591000,8133998,1768000,7072000,8351891,7852629,8655789,8801811,8655789
Honda,RevoFit ,2019,14288000,8900000,1430413,1285759,6573448,1428800,5715200,6749537,6346062,8133818,8704013,8133818
Honda,SupraX 125 SW,2015,15950000,9500000,1596801,1435320,15949992,1595000,15949992,4943485,12281156,10334347,9290801,9290801
Honda,Vario 125 CBS,2016,17650000,13900000,1766993,1588301,17649992,1765000,17649992,6078197,13792727,13867818,13593908,13867818
Honda,Vario 125 CBS,2024,23110000,19000000,2313609,2079639,21030361,2311000,20799000,18488000,20105787,19331736,18581601,18581601
Yamaha,Vixion Lightning,2013,23200000,8900000,2322620,2087738,23199992,2320000,23199992,5824325,17408103,11452431,8704013,8704013
Yamaha,LEXi 125 S,2021,25350000,16500000,2537862,2281214,16225145,2535000,15210000,14784120,15406422,16171926,16136654,16171926
Yamaha,LEXi 125,2021,22000000,16800000,2202484,1979752,14080994,2200000,13200000,12830400,13370465,15771139,16430047,15771139
Yamaha,LEXi 125 S ABS,2019,26960000,17800000,2699044,2426096,12403427,2696000,10784000,12735688,11974372,16052311,17408026,16052311
Honda,Vario 110 CBS,2019,17608000,12900000,1762788,1584521,8100873,1760800,7043200,8317878,7820650,11376195,12615929,11376195
Honda,CB 150X,2022,33193000,21000000,3323048,2986995,24232014,3319300,23235100,21509064,22992059,21597618,20537559,20537559
Kawasaki,Z 250,2014,50600000,26500000,5065714,4553429,50599992,5060000,50599992,14114503,38438162,30081449,25916444,25916444
Honda,Genio CBS ISS,2020,18155000,11000000,1817550,1633745,9986275,1815500,9077500,9529196,9530990,10559297,10757769,10559297
Honda,ADV 160 ABS,2023,39400000,33800000,3944449,3545555,32308890,3940000,31520000,28368000,30732297,32879689,33055691,32879689
Yamaha,Freego ,2023,21400000,14500000,2142416,1925758,17548483,2140000,17120000,15408000,16692161,15157648,14180696,14180696
Honda,BeAT CBS,2022,17150000,13000000,1716936,1543306,12520081,1715000,12005000,11113200,11879427,12663828,12713727,12663828
Yamaha,AEROX S,2017,27200000,17500000,2723071,2447693,7618457,2720000,5440000,10407741,7822066,14596620,17114633,14596620
Kawasaki,KLX 150,2022,32000000,27000000,3203613,2879639,23361084,3200000,22400000,20736000,22165695,25549708,26405433,25549708
Yamaha,AEROX 155 ABS Connected,2021,29400000,21100000,2943320,2645668,18817328,2940000,17640000,17146080,17867803,20130341,20635357,20130341
Yamaha,LEXi 125,2020,21355000,12500000,2137911,1921709,11746456,2135500,10677500,11208812,11210923,12113277,12224738,12113277
Honda,Vario 125 CBS ISS,2021,22006000,17500000,2203085,1980292,14084834,2200600,13203600,12833899,13374111,16262233,17114633,16262233
Honda,CBR 150R,2019,34208000,15500000,3424663,3078334,15737998,3420800,13683200,16159586,15193594,15408078,15158675,15408078
Honda,CBR 150R,2020,35334000,21200000,3537390,3179661,19435695,3533400,17667000,18546110,18549602,20404880,20733155,20404880
Honda,Supra GTR150 Sporty,2016,21300000,8900000,2132405,1916759,21299992,2130000,21299992,7335161,16645048,11223515,8704013,8704013
Honda,PCX 150 ABS,2020,32842000,24000000,3287908,2955409,18064954,3284200,16421000,17238109,17241354,21972406,23471496,21972406
Honda,BeAT CBS,2025,18900000,17300000,1892134,1700787,18900000,1890000,18900000,15120000,17640000,17402000,16919037,16919037
Yamaha,Gear 125 S,2023,18920000,11500000,1894136,1702586,15514827,1892000,15136000,13622400,14757742,12477323,11246759,11246759
Kawasaki,KLX 150 SM SE,2023,40300000,28500000,4034550,3626545,33046910,4030000,32240000,29016000,31434303,29380291,27872402,27872402
Yamaha,LEXI 155 ABS Connected,2024,30200000,21500000,3023410,2717659,27482341,3020000,27180000,24160000,26274114,22932234,21026549,21026549
Honda,ADV 160 CBS,2022,36000000,22800000,3604065,3239594,26281219,3600000,25200000,23328000,24936406,23440922,22297921,22297921
Honda,BeAT CBS,2016,14700000,10500000,1471660,1322834,14699992,1470000,14699992,5062294,11487426,10796228,10268780,10268780
Honda,Vario 160 CBS Grande,2024,27530000,22000000,2756109,2477389,25052611,2753000,24777000,22024000,23951204,22585361,21515538,21515538
Yamaha,MioM3 ,2020,16350000,8000000,1636846,1471315,8993423,1635000,8175000,8581788,8583404,8175021,7823832,7823832
Kawasaki,W175 ,2018,29800000,16800000,2983365,2681664,11028355,2980000,8940000,12669553,10879303,15023791,16430047,15023791
Yamaha,Fino ,2020,18735000,11300000,1875615,1685938,10305308,1873500,9367500,9833627,9835478,10860643,11051163,10860643
Honda,Genio CBS ISS,2021,18415000,12000000,1843579,1657142,11786432,1841500,11049000,10739628,11191687,11757506,11735748,11757506
Honda,CRFL 150,2023,35384000,28500000,3542395,3184160,29015679,3538400,28307200,25476480,27599786,28229936,27872402,28229936
Honda,CB 150R,2022,30111000,17000000,3014500,2709650,21982050,3011100,21077700,19511928,20857226,18157168,16625643,16625643
Yamaha,X-Ride ,2023,19960000,13500000,1998254,1796175,16367651,1996000,15968000,14371200,15568950,14120685,13202717,13202717
Kawasaki,KLX 150,2019,30100000,20000000,3013399,2708660,13848039,3010000,12040000,14218999,13369013,18010704,19559580,18010704
Kawasaki,Ninja 250,2018,61900000,41000000,6196989,5570301,22907893,6190000,18570000,26316958,22598284,35479485,40097139,35479485
Yamaha,AEROX S,2020,28565000,19800000,2859725,2570527,15712363,2856500,14282500,14993197,14996020,18358806,19363984,18358806
Yamaha,Freego Connected,2023,21400000,18800000,2142416,1925758,17548483,2140000,17120000,15408000,16692161,18167648,18386005,18167648
Honda,Vario 150,2016,20650000,13000000,2067332,1858267,20649992,2065000,20649992,7111318,16137101,13941130,12713727,12713727
Yamaha,Fino ,2019,18500000,9200000,1852089,1664791,8511253,1850000,7400000,8739252,8216835,8905051,8997407,8905051
Yamaha,Vixion ,2021,28195000,13500000,2822684,2537232,18046073,2819500,16917000,16443324,17135466,14590640,13202717,13202717
Yamaha,Freego ,2024,21700000,16000000,2172450,1952755,19747245,2170000,19530000,17360000,18879082,16863725,15647664,15647664
Yamaha,LEXi 125,2023,23000000,17000000,2302597,2069740,18860519,2300000,18400000,16560000,17940173,17282052,16625643,16625643
Honda,CB 150R,2016,25600000,11500000,2562891,2303711,25599992,2560000,25599992,8815968,20005317,14051595,11246759,11246759
Honda,Scoopy ,2019,19193000,15000000,1921467,1727153,8830080,1919300,7677200,9066620,8524633,13057390,14669685,13057390
Honda,Supra GTR150 Sporty,2018,22050000,12800000,2207490,1984251,8160243,2205000,6615000,9374619,8049954,11374986,12518131,11374986
Honda,BeAT CW,2017,15050000,11000000,1506699,1354330,4215359,1505000,3010000,5758695,4328018,8998405,10757769,8998405
Honda,BeATStreet ,2021,17615000,12000000,1763489,1585151,11274396,1761500,10569000,10273068,10705488,11611646,11735748,11611646
Yamaha,AEROX CyberCity,2023,27375000,22300000,2740591,2463441,22448118,2737500,21900000,19710000,21352706,22015812,21808932,22015812
Honda,ADV 160 ABS,2022,39250000,28500000,3929432,3532057,28653830,3925000,27475000,25434000,27187610,28106283,27872402,28106283
Honda,BeATStreet ,2019,16693000,10000000,1671185,1502182,7679911,1669300,6677200,7885640,7414250,9224275,9779790,9224275
Honda,CBR 250RR,2024,63900000,58000000,6397215,5750278,58149722,6390000,57510000,51120000,55593241,57277972,56722783,57277972
Honda,Vario 125 CBS ISS,2017,18900000,17800000,1892134,1700787,5293707,1890000,3780000,7231849,5435185,14090556,17408026,14090556
Honda,Vario 125 CBS ISS SP,2024,24650000,24000000,2467783,2218222,22431778,2465000,22185000,19720000,21445593,23233678,23471496,23233678
Honda,ADV 160 ABS,2024,39400000,26000000,3944449,3545555,35854445,3940000,35460000,31520000,34278148,28483444,25427454,25427454
Honda,Vario 160 ABS,2023,29264000,22000000,2929704,2633430,23997141,2926400,23411200,21070080,22826140,22247842,21515538,21515538
Yamaha,Xabre ,2016,29800000,11500000,2983365,2681664,29799992,2980000,29799992,10262338,23287441,15036232,11246759,11246759
Honda,CBR 150R,2017,32975000,11000000,3301223,2967378,9235979,3297500,6595000,12617472,9482817,10544845,10757769,10544845
Honda,Stylo 160 CBS,2024,27700000,25900000,2773128,2492687,25207313,2770000,24930000,22160000,24099104,25359731,25329656,25359731
Honda,BeAT CW,2018,15550000,10500000,1556756,1399324,5754729,1555000,4665000,6611126,5676952,9053086,10268780,9053086
Honda,CBR 150R,2024,38000000,24000000,3804291,3419571,34580429,3800000,34200000,30400000,33060143,26718043,23471496,23471496
Honda,Genio CBS,2021,17945000,12000000,1796526,1614847,11485611,1794500,10767000,10465524,10906045,11671813,11735748,11671813
Yamaha,SoulGT AKS SSS,2017,17440000,8900000,1745969,1569403,4884775,1744000,3488000,6673198,5015325,7734597,8704013,7734597
Honda,Genio CBS ISS,2019,17700000,12900000,1771999,1592800,8143199,1770000,7080000,8361338,7861513,11388454,12615929,11388454
Kawasaki,Ninja 250 ABS,2019,74100000,19500000,7418367,6668163,34091020,7410000,29640000,35004247,32911756,23523527,19070591,19070591
Kawasaki,W175 ,2017,29800000,13800000,2983365,2681664,8346692,2980000,5960000,11402598,8569763,12230929,13496110,12230929
Honda,Supra GTR150 Sporty,2024,25430000,17950000,2545871,2288413,23141587,2543000,22887000,20344000,22124196,19202259,17554723,17554723
Honda,SupraX 125 CW,2020,19250000,10800000,1927174,1732283,10588587,1925000,9625000,10103940,10105842,10591753,10562173,10591753
Kawasaki,KLXBF 150,2022,35800000,24000000,3584042,3221596,26135213,3580000,25060000,23198400,24797871,24239361,23471496,23471496
Honda,BeAT CW,2019,16068000,11000000,1608614,1445939,7392369,1606800,6427200,7590395,7136654,9840996,10757769,9840996
Yamaha,MT25 ,2016,46000000,21000000,4605194,4139481,45999992,4600000,45999992,15841193,35947059,25484118,20537559,20537559
Honda,Monkey ,2024,83400000,88000000,8349417,7505058,75894942,8340000,75060000,66720000,72558314,83367494,86062153,83367494
Yamaha,Fino Grande,2020,19895000,11500000,1991746,1790325,10943373,1989500,9947500,10442488,10444454,11183336,11246759,11183336
Honda,CB 150R,2018,26750000,11000000,2678020,2407198,9899614,2675000,8025000,11372837,9765817,10629745,10757769,10629745
Yamaha,NMAX 155 ABS,2015,27400000,16500000,2743094,2465691,27399992,2740000,27399992,8492257,21097414,17879224,16136654,16136654
Yamaha,Vixion R,2020,31630000,15000000,3166572,2846343,17398286,3163000,15815000,16601954,16605080,15481524,14669685,14669685
Kawasaki,KLX 150,2017,28800000,19800000,2883252,2591675,8066602,2880000,5760000,11019961,8282187,16344656,19363984,16344656
Kawasaki,Ninja 250 ABS,2017,69400000,37000000,6947836,6245216,19438269,6940000,13880000,26555044,19957771,31887331,36185223,31887331
Honda,Vario 150,2020,24150000,18800000,2417727,2173227,13283863,2415000,12075000,12675852,12678238,16963472,18386005,16963472
Kawasaki,KLX 150,2023,36500000,24000000,3654121,3284588,29930824,3650000,29200000,26280000,28470275,25341082,23471496,23471496
Yamaha,MXKing ,2017,21000000,16000000,2102371,1889763,5881897,2100000,4200000,8035388,6039095,13011728,15647664,13011728
Honda,Vario 110 CBS ISS,2019,17768000,12900000,1778806,1598919,8174484,1776800,7107200,8393461,7891715,11397514,12615929,11397514
Yamaha,Vixion Advance,2015,24250000,10500000,2427738,2182226,24249992,2425000,24249992,7515957,18671980,12951594,10268780,10268780
Honda,CBR 150R,2022,36741000,19000000,3678249,3306275,26822175,3674100,25718700,23808168,25449681,20934904,18581601,18581601
Honda,BeATStreet ,2017,15875000,11500000,1589293,1428571,4446434,1587500,3175000,6074371,4565268,9419580,11246759,9419580
Yamaha,AEROX 155 ABS Connected,2022,30805000,23800000,3083978,2772102,22488694,3080500,21563500,19961640,21337945,23061383,23275900,23061383
Yamaha,Fazzio Lux,2022,22190000,11500000,2221506,1996849,16199452,2219000,15533000,14379120,15370524,12661157,11246759,11246759
Yamaha,Gear 125,2021,16750000,10800000,1676891,1507311,10720757,1675000,10050000,9768600,10179786,10613936,10562173,10613936
Yamaha,Freego S,2019,19865000,11000000,1988743,1787626,9139246,1986500,7946000,9384067,8823104,10346931,10757769,10346931
Honda,BeAT CW,2016,14550000,10000000,1456643,1309336,14549992,1455000,14549992,5010638,11370207,10411062,9779790,9779790
Kawasaki,Ninja 250,2021,64900000,46000000,6497328,5840267,41538931,6490000,38940000,37849680,39442870,44032861,44987034,44032861
Yamaha,Freego ,2021,19275000,13500000,1929676,1734532,12336871,1927500,11565000,11241180,11714350,12964305,13202717,12964305
Honda,VARIO 150 ESP EXCLSV,2017,21175000,14500000,2119891,1905511,5930913,2117500,4235000,8102349,6089421,11976826,14180696,11976826
Yamaha,FAZZIO NEO,2025,23900000,20000000,2392699,2150730,23900000,2390000,23900000,19120000,22306667,20692000,19559580,19559580
Yamaha,FREEGO,2019,18805000,13500000,1882623,1692238,8651574,1880500,7522000,8883332,8352302,11955691,13202717,11955691
Yamaha,N-MAX,2017,25700000,18300000,2572902,2312710,7198322,2570000,5140000,9833784,7390702,15027211,17897016,15027211
Yamaha,GEAR 125 S-VERSION,2024,19220000,14500000,1924170,1729583,17490417,1922000,17298000,15376000,16721472,15166442,14180696,14180696
Honda,BEAT ESP CBS ISS DLX,2022,18336000,13300000,1835670,1650033,13385901,1833600,12835200,11881728,12700943,13120283,13007121,13120283
Honda,NEWBEAT FICW-CBSPLUS,2020,17150000,12800000,1716936,1543306,9433468,1715000,8575000,9001692,9003387,11661016,12518131,11661016
Honda,NEWBEAT FICW-CBSPLUS,2021,17271000,13600000,1729050,1554195,11054220,1727100,10362600,10072447,10496422,12668927,13300515,12668927
Honda,BEAT DLX SMART KEY,2024,19830000,16000000,1985239,1784476,18045524,1983000,17847000,15864000,17252175,16375652,15647664,15647664
Yamaha,LEXI,2019,20710000,13500000,2073338,1863666,9528003,2071000,8284000,9783238,9198414,12209524,13202717,12209524
Honda,CBR 150 R,2019,34208000,15500000,3424663,3078334,15737998,3420800,13683200,16159586,15193594,15408078,15158675,15408078
