brand,variant,year,otr,low_price,residu,depresiasi_1,estimasi_1,depresiasi_2,estimasi_2,estimasi_3,avg_estimasi,estimator,correction,output
Benelli,Motobi 200 Efi,2022,30000000,20500000,3003387,2699661,21901016,3000000,21000000,19440000,20780339,20584102,20048570,20048570
Benelli,Patagonian Eagle PE 250 Injection,2021,48700000,32000000,4875499,4382450,31170200,4870000,29220000,28401840,29597347,31279204,31295328,31279204
KTM,Duke 250,2017,44000000,16500000,4404968,3959503,12323975,4400000,8800000,16836051,12653342,15346003,16136654,15346003
Benelli,Motobi 200 EVO,2022,32800000,28500000,3283704,2951630,23945111,3280000,22960000,21254400,22719837,26765951,27872402,26765951
Benelli,Patagonian Eagle PE 250 Injection,2022,48700000,38800000,4875499,4382450,35552650,4870000,34090000,31557600,33733417,37280025,37945586,37280025
Benelli,Motobi 200 EVO,2021,32200000,25800000,3223636,2897636,20609454,3220000,19320000,18779040,19569498,23930849,25231858,23930849
Benelli,Motobi 200 Efi,2023,30800000,27000000,3083478,2771652,25256696,3080000,24640000,22176000,24024232,26107270,26405433,26107270
Benelli,Patagonian Eagle PE 250 Injection,2023,49900000,38750000,4995634,4490437,40919127,4990000,39920000,35928000,38922376,38801713,37896687,37896687
KTM,Duke 250 ABS,2018,48000000,34800000,4805420,4319458,17763794,4800000,14400000,20407334,17523709,29617113,34033670,29617113
KTM,390 Adventure ,2021,119000000,94000000,11913437,10708656,76165375,11900000,71400000,69400800,72322058,87496617,91930027,87496617
Benelli,Patagonian Eagle PE 250,2024,49900000,65000000,4995634,4490437,45409563,4990000,44910000,39920000,43413188,58523956,63568636,58523956
KTM,Duke 200,2019,38000000,17800000,3804291,3419571,17482574,3800000,15200000,17950896,16877823,17523347,17408026,17523347
KTM,Duke 390 ABS,2021,115000000,80500000,11512985,10348701,73605194,11500000,69000000,67068000,69891065,77317319,78727310,77317319
KTM,Duke ABS,2017,49000000,35500000,4905533,4409447,13724426,4900000,9800000,18749238,14091222,29077366,34718255,29077366
Benelli,TNT 249S,2019,58600000,36400000,5866617,5273338,26959970,5860000,23440000,27682171,26027380,33288214,35598436,33288214
KTM,RC ,2017,37000000,16900000,3704178,3329582,10363342,3700000,7400000,14157588,10640310,15022093,16527845,15022093
KTM,Duke ABS,2022,65000000,37800000,6507339,5849266,47452202,6500000,45500000,42120000,45024067,39967220,36967607,36967607
Benelli,Motobi 200 EVO,2023,33800000,27500000,3383817,3041618,27716763,3380000,27040000,24336000,26364254,27159276,26894423,27159276
KTM,Duke 250 ABS,2019,51900000,36000000,5195860,4670414,23877516,5190000,20760000,24517145,23051554,32115466,35207244,32115466
KTM,Duke 250 ABS,2017,49000000,25000000,4905533,4409447,13724426,4900000,9800000,18749238,14091222,21727366,24449475,21727366
Benelli,BN 700,2024,210000000,65750000,21023712,18897629,191102371,21000000,189000000,168000000,182700790,100835237,64302120,64302120
KTM,RC 200,2017,37000000,16900000,3704178,3329582,10363342,3700000,7400000,14157588,10640310,15022093,16527845,15022093
Benelli,Patagonian Eagle PE 250,2021,38900000,32000000,3894392,3500561,24897757,3890000,23340000,22686480,23641412,29492424,31295328,29492424
Benelli,Patagonian Eagle PE 250,2020,38900000,33900000,3894392,3500561,21397196,3890000,19450000,20417832,20421676,29856503,33153488,29856503
Benelli,Patagonian Eagle KEEWAY V250,2025,62000000,65900000,6207001,5579300,62000000,6200000,62000000,49600000,57866667,63490000,64448817,63490000
Benelli,Patagonian Eagle PE 250,2023,39900000,38900000,3994505,3590549,32718901,3990000,31920000,28728000,31122300,36566690,38043383,36566690
Benelli,Motobi 200 EVO,2019,30800000,23000000,3083478,2771652,14170087,3080000,12320000,14549674,13679920,20203976,22493517,20203976
KTM,Duke 390,2019,108500000,79900000,10862251,9763775,49917351,10850000,43400000,51254532,48190628,70387188,78140523,70387188
KTM,390 Adventure ,2020,119000000,105000000,11913437,10708656,65456718,11900000,59500000,62460720,62472479,92241744,102687796,92241744
Benelli,Motobi 200 EVO,2018,30800000,22900000,3083478,2771652,11398434,3080000,9240000,13094706,11244380,19403314,22395719,19403314
Benelli,Patagonian Eagle KEEWAY V250,2023,58800000,35000000,5886639,5291336,48217328,5880000,47040000,42336000,45864443,38259333,34229265,34229265
Benelli,Patagonian Eagle PE 250,2022,39900000,36000000,3994505,3590549,29128352,3990000,27930000,25855200,27637851,33491355,35207244,33491355
Benelli,Patagonian Eagle KEEWAY V250,2021,56600000,36000000,5666391,5093361,36226556,5660000,33960000,33009120,34398559,35519568,35207244,35519568
Kawasaki,D-Tracker 150,2019,32900000,21500000,3293715,2960629,15136229,3290000,13160000,15541697,14612642,19433793,21026549,21004874.35
Honda,BeATStreet ,2023,18700000,13000000,1872112,1682789,15334422,1870000,14960000,13464000,14586141,13475842,12713727,12713727
Honda,BeATStreet ,2024,19300000,10900000,1932179,1736782,17563218,1930000,17370000,15440000,16791073,12667322,10659971,10659971
Yamaha,Gear 125 S,2021,17350000,10500000,1736959,1561304,11104784,1735000,10410000,10118520,10544435,10513330,10268780,10268780
Honda,BeAT CBS,2024,18430000,11000000,1845081,1658492,16771508,1843000,16587000,14744000,16034169,12510251,10757769,10757769
Yamaha,MioM3 ,2019,15750000,7500000,1576778,1417322,7246067,1575000,6300000,7440174,6995414,7348624,7334843,7348624
Honda,Genio CBS,2020,17680000,11200000,1769996,1591000,9724998,1768000,8840000,9279878,9281626,10624488,10953365,10624488
Suzuki,GSX R 150,2017,27900000,12500000,2793150,2510685,7814520,2790000,5580000,10675587,8023369,11157011,12224738,11157011
Honda,BeAT Deluxe,2024,19300000,9900000,1932179,1736782,17563218,1930000,17370000,15440000,16791073,11967322,9681992,9681992
Honda,BeAT (Deluxe) CBS-ISS,2023,18900000,11000000,1892134,1700787,15498427,1890000,15120000,13608000,14742142,12122643,10757769,10757769
Honda,PCX 160 CBS,2024,33300000,28500000,3333760,2996624,30303376,3330000,29970000,26640000,28971125,28641338,27872402,27872402
Honda,Vario 125 CBS,2023,22550000,17800000,2257546,2029245,18491509,2255000,18040000,16236000,17589170,17736751,17408026,17736751
Honda,Scoopy Prestige/Stylish,2021,20325000,15000000,2034795,1829021,13008918,2032500,12195000,11853540,12352486,14205746,14669685,14205746
Yamaha,NMAX 155,2017,25700000,16800000,2572902,2312710,7198322,2570000,5140000,9833784,7390702,13977211,16430047,13977211
Honda,Vario 150,2017,21175000,13900000,2119891,1905511,5930913,2117500,4235000,8102349,6089421,11556826,13593908,11556826
Honda,PCX 160 CBS,2023,32670000,28500000,3270689,2939931,26790138,3267000,26136000,23522400,25482846,27594854,27872402,27594854
Suzuki,SatriaF 150,2015,19820000,7500000,1984238,1783576,19819992,1982000,19819992,6142939,15260974,9828292,7334843,7334843
Yamaha,NMAX Connected,2022,34800000,24500000,3483929,3131607,25405179,3480000,24360000,22550400,24105193,24381558,23960486,24381558
Yamaha,NMAX Connected,2023,35750000,24500000,3579037,3217096,29315807,3575000,28600000,25740000,27885269,25515581,23960486,23960486
Honda,Scoopy Prestige/Stylish,2024,23230000,17500000,2325623,2090438,21139562,2323000,20907000,18584000,20210187,18313056,17114633,17114633
Honda,Stylo 160 ABS,2024,30735000,26500000,3076970,2765803,27969197,3073500,27661500,24588000,26739566,26571870,25916444,25916444
Yamaha,Fazzio Neo,2022,21700000,15200000,2172450,1952755,15841735,2170000,15190000,14061600,15031112,15149334,14865281,15149334
Yamaha,NMAX 155,2019,27540000,17500000,2757110,2478289,12670266,2754000,11016000,13009676,12231980,15919594,17114633,15919594
Honda,ADV 150 CBS,2021,35186000,24900000,3522573,3166343,22520629,3518600,21111600,20520475,21384235,23845270,24351677,23845270
Yamaha,NMAX 155,2018,26300000,17000000,2632970,2366703,9733079,2630000,7890000,11181519,9601532,14780460,16625643,14780460
Honda,BeAT CBS - ISS,2019,16402000,11000000,1642052,1475995,7546031,1640200,6560800,7748174,7285002,9885500,10757769,9885500
Honda,BeAT CBS - ISS,2017,15525000,11500000,1554253,1397075,4348402,1552500,3105000,5940447,4464617,9389385,11246759,9389385
Yamaha,Gear 125,2023,18205000,10900000,1822556,1638244,14928511,1820500,14564000,13107600,14200037,11890011,10659971,10659971
Yamaha,NMAX S,2024,43250000,27400000,4329884,3892012,39357988,4325000,38925000,34600000,37627663,30468299,26796625,26796625
Honda,SupraX 125 SW,2022,18785000,12000000,1880621,1690438,13713686,1878500,13149500,12172680,13011955,12303587,11735748,11735748
Honda,ADV 150 CBS,2020,34742000,24000000,3478123,3126388,19110061,3474200,17371000,18235381,18238814,22271644,23471496,22271644
Honda,ADV 160 CBS,2024,36565000,28800000,3660629,3290437,33274563,3656500,32908500,29252000,31811688,29703506,28165795,28165795
Yamaha,Fino ,2022,19585000,12000000,1960711,1762429,14297713,1958500,13709500,12691080,13566098,12469829,11735748,11735748
Honda,CBR 150R,2023,37283000,24000000,3732510,3355049,30572902,3728300,29826400,26843760,29081021,25524306,23471496,23471496
Yamaha,NMAX 155 ABS,2018,30200000,20800000,3023410,2717659,11176387,3020000,9060000,12839615,11025334,17867600,20341963,17867600
Yamaha,NMAX 155,2024,37750000,24900000,3779263,3397074,34352926,3775000,33975000,30200000,32842642,27282793,24351677,24351677
Yamaha,AEROX Connected,2023,27425000,21500000,2745597,2467940,22489119,2742500,21940000,19746000,21391706,21467512,21026549,21467512
Honda,PCX 160 CBS,2021,30845000,25000000,3087983,2775702,19742193,3084500,18507000,17988804,18745999,23123800,24449475,23123800
Yamaha,Gear 125,2022,17250000,10500000,1726948,1552305,12593084,1725000,12075000,11178000,11948695,10934608,10268780,10268780
Yamaha,SoulGT ,2014,14900000,6500000,1491682,1340832,14899992,1490000,14899992,4156247,11318744,7945623,6356864,6356864
Yamaha,Fazzio Neo,2023,22650000,15700000,2267558,2038244,18573512,2265000,18120000,16308000,17667171,16290151,15354270,15354270
Honda,Vario 125 CBS ISS,2024,24650000,20000000,2467783,2218222,22431778,2465000,22185000,19720000,21445593,20433678,19559580,19559580
Yamaha,AEROX S,2018,27200000,15500000,2723071,2447693,10066150,2720000,8160000,11564156,9930102,13829031,15158675,13829031
Yamaha,AEROX 155 ABS Connected,2024,31560000,23900000,3159564,2840044,28719956,3156000,28404000,25248000,27457319,24967196,23373698,23373698
Honda,Vario 160 ABS,2024,29885000,22000000,2991874,2689313,27195687,2988500,26896500,23908000,26000062,23200019,21515538,21515538
Yamaha,NMAX 155 ABS Connected,2023,35750000,26300000,3579037,3217096,29315807,3575000,28600000,25740000,27885269,26775581,25720848,25720848
Honda,PCX 150 CBS,2019,28933000,21000000,2896567,2603643,13311140,2893300,11573200,13667718,12850686,18555206,20537559,18555206
Honda,Vario 125,2014,16350000,10500000,1636846,1471315,16349992,1635000,16349992,4560714,12420233,11076070,10268780,10268780
Yamaha,AEROX 155 ABS Connected,2023,30960000,22000000,3099496,2786050,25387899,3096000,24768000,22291200,24149033,22644710,21515538,21515538
Yamaha,Fino Grande,2019,19340000,10700000,1936184,1740382,8897710,1934000,7736000,9136061,8589924,10066977,10464375,10066977
Honda,Vario 125 CBS ISS,2023,24200000,18000000,2422733,2177727,19844547,2420000,19360000,17424000,18876182,18262855,17603622,17603622
Honda,Vario 125 CBS,2021,21006000,17000000,2102972,1890303,13444789,2100600,12603600,12250699,12766363,15729909,16625643,15729909
Yamaha,AEROX R,2018,24350000,16000000,2437749,2191225,9011425,2435000,7305000,10352471,8889632,13866890,15647664,13866890
Yamaha,Fazzio Lux Connected,2024,23350000,16500000,2337637,2101236,21248764,2335000,21015000,18680000,20314588,17644376,16136654,16136654
Kawasaki,Ninja 250,2017,58800000,35000000,5886639,5291336,16469312,5880000,11760000,22499086,16909466,29572840,34229265,29572840
Honda,Genio CBS ISS,2022,18650000,13000000,1867106,1678289,13615132,1865000,13055000,12085200,12918444,12975533,12713727,12975533
Yamaha,R25 ,2019,59950000,38500000,6001769,5394823,27581062,5995000,23980000,28319900,26626987,34938096,37652192,34938096
Yamaha,NMAX 155,2023,31615000,25000000,3165070,2844993,25925014,3161500,25292000,22762800,24659938,24897981,24449475,24897981
Honda,Vario 125 CBS,2019,19345000,13800000,1936684,1740832,8900011,1934500,7738000,9138423,8592145,12237643,13496110,12237643
Honda,Vario 150,2019,22793000,16000000,2281874,2051113,10486324,2279300,9117200,10767231,10123585,14237076,15647664,14237076
Yamaha,Fino ,2018,17550000,9000000,1756982,1579302,6494887,1755000,5265000,7461432,6407106,8222132,8801811,8222132
Honda,Scoopy Fashion/Sporty,2023,21875000,17000000,2189970,1968503,17937994,2187500,17500000,15750000,17062665,17018799,16625643,16625643
Yamaha,Gear 125,2024,18700000,11000000,1872112,1682789,17017211,1870000,16830000,14960000,16269070,12580721,10757769,10757769
Honda,BeAT CBS ISS,2021,17271000,12500000,1729050,1554195,11054220,1727100,10362600,10072447,10496422,11898927,12224738,11898927
Yamaha,Grand Filano Neo,2023,27000000,2150000,2703049,2429695,22140610,2700000,21600000,19440000,21060203,7823061,2102655,2102655
Honda,ADV 150 CBS,2019,33500000,23000000,3353783,3014622,15412270,3350000,13400000,15825132,14879134,20563740,22493517,20563740
Yamaha,R15 ,2017,34500000,15600000,3453896,3104610,9663116,3450000,6900000,13200994,9921370,13896411,15256473,13896411
Honda,PCX 160 ABS,2022,35510000,25300000,3555010,3195499,25923503,3551000,24857000,23010480,24596994,25089098,24742869,25089098
Honda,Genio CBS ISS,2023,19275000,13000000,1929676,1734532,15805935,1927500,15420000,13878000,15034645,13610394,12713727,12713727
Honda,BeAT CBS,2023,18050000,13500000,1807038,1624296,14801408,1805000,14440000,12996000,14079136,13673741,13202717,13202717
Honda,Vario 160 CBS,2023,26539000,20000000,2656897,2388210,21762579,2653900,21231200,19108080,20700620,20210186,19559580,19559580
Yamaha,Grand Filano LUX,2023,27500000,21800000,2753105,2474689,22550621,2750000,22000000,19800000,21450207,21695062,21319942,21695062
Yamaha,AEROX STD,2019,23920000,17800000,2394701,2152530,11004821,2392000,9568000,11299617,10624146,15647244,17408026,15647244
Honda,Vario 150,2021,24715000,17400000,2474291,2224071,15818716,2471500,14829000,14413788,15020501,16686150,17016835,16686150
Honda,SupraX 125 CW,2022,19925000,12000000,1994750,1793025,14545925,1992500,13947500,12911400,13801608,12540482,11735748,11735748
Honda,Scoopy Prestige/Stylish,2022,21353000,17000000,2137711,1921529,15588413,2135300,14947100,13836744,14790752,16337226,16625643,16337226
Kawasaki,W175 SE,2021,32800000,18500000,3283704,2951630,20993481,3280000,19680000,19128960,19934147,18930244,18092612,18092612
Yamaha,AEROX CyberCity,2024,27975000,23000000,2800659,2517434,25457566,2797500,25177500,22380000,24338355,23401507,22493517,22493517
Honda,Vario 125 CBS,2017,18175000,14800000,1819552,1635545,5090642,1817500,3635000,6954437,5226693,11928008,14474089,11928008
Yamaha,Fazzio Neo,2024,23050000,14300000,2307603,2074240,20975760,2305000,20745000,18440000,20053587,16026076,13985100,13985100
Suzuki,NEX II ,2024,19646000,11000000,1966818,1767918,17878082,1964600,17681400,15716800,17092094,12827628,10757769,10757769
Yamaha,R15 ,2022,39240000,25500000,3928431,3531157,28646529,3924000,27468000,25427520,27180683,26004205,24938465,24938465
Honda,BeAT CBS,2019,15968000,10800000,1598603,1436940,7346362,1596800,6387200,7543155,7092239,9687672,10562173,9687672
Yamaha,Freego ,2020,19275000,12700000,1929676,1734532,10602338,1927500,9637500,10117062,10118967,11925690,12420333,11925690
Honda,Vario 150,2018,22500000,15800000,2252541,2024746,8326778,2250000,6750000,9565938,8214239,13524272,15452068,13524272
Honda,Scoopy Fashion/Sporty,2024,23230000,17000000,2325623,2090438,21139562,2323000,20907000,18584000,20210187,17963056,16625643,16625643
Yamaha,LEXi 125,2019,20710000,11500000,2073338,1863666,9528003,2071000,8284000,9783238,9198414,10809524,11246759,10809524
Yamaha,X-Ride ,2018,17650000,8800000,1766993,1588301,6531895,1765000,5295000,7503947,6443614,8093084,8606215,8093084
Honda,Vario 125 CBS,2014,15800000,11500000,1581784,1421822,15799992,1580000,15799992,4407295,12002426,11650728,11246759,11246759
Honda,BeAT (Deluxe) CBS-ISS,2022,17600000,12000000,1761987,1583801,12848596,1760000,12320000,11404800,12191132,12057340,11735748,11735748
Yamaha,NMAX 155,2022,31115000,24000000,3115013,2799999,22715004,3111500,21780500,20162520,21552675,23265802,23471496,23265802
Honda,CBR 150R,2018,33600000,11000000,3363794,3023621,12434656,3360000,10080000,14285134,12266597,11379979,10757769,10757769
Honda,Vario 125 CBS ISS,2018,19100000,11800000,1912157,1718784,7068510,1910000,5730000,8120418,6972976,10351893,11540152,10351893
Yamaha,NMAX 155,2015,27400000,16500000,2743094,2465691,27399992,2740000,27399992,8492257,21097414,17879224,16136654,16136654
Yamaha,LEXi 125,2018,19950000,13500000,1997253,1795275,7383077,1995000,5985000,8481798,7283292,11634988,13202717,11634988
Kawasaki,W175 TR SE,2022,33600000,22100000,3363794,3023621,24529138,3360000,23520000,21772800,23273979,22452194,21613336,21613336
Yamaha,Gear 125 S,2022,17950000,11100000,1797027,1615297,13104108,1795000,12565000,11631600,12433569,11500071,10855567,10855567
Yamaha,NMAX 155 ABS Connected,2021,34300000,21500000,3433873,3086613,21953549,3430000,20580000,20003760,20845770,21303731,21026549,21303731
Yamaha,Freego S ABS,2019,22840000,11500000,2286579,2055342,10507947,2284000,9136000,10789433,10144460,11093338,11246759,11093338
Yamaha,Gear 125 S,2024,19220000,11000000,1924170,1729583,17490417,1922000,17298000,15376000,16721472,12716442,10757769,10757769
Honda,Vario 160 ABS,2022,28506000,21900000,2853819,2565218,20810346,2850600,19954200,18471888,19745478,21253643,21417740,21253643
Honda,BeAT CBS,2017,15025000,9900000,1504197,1352080,4208357,1502500,3005000,5749129,4320829,8226249,9681992,8226249
Yamaha,AEROX 155,2022,26775000,20200000,2680523,2409448,19546657,2677500,18742500,17350200,18546452,19703936,19755176,19703936
Yamaha,MioGT ,2013,13200000,6900000,1321490,1187851,13199992,1320000,13199992,3313840,9904608,7801382,6748055,6748055
Honda,Scoopy Prestige/Stylish,2023,21875000,17900000,2189970,1968503,17937994,2187500,17500000,15750000,17062665,17648799,17505824,17648799
Yamaha,Grand Filano Neo,2024,27250000,21300000,2728077,2452192,24797808,2725000,24525000,21800000,23707603,22022281,20830953,20830953
Honda,BeAT CBS,2018,15450000,10300000,1546745,1390326,5717721,1545000,4635000,6568611,5640444,8902133,10073184,8902133
Kawasaki,W175 TR,2022,32300000,21500000,3233647,2906635,23580094,3230000,22610000,20930400,22373498,21762049,21026549,21026549
Yamaha,AEROX STD,2017,22850000,16200000,2287580,2056242,6400064,2285000,4570000,8743267,6571110,13311333,15843260,13311333
Yamaha,AEROX Connected,2021,25900000,17500000,2592924,2330708,16577170,2590000,15540000,15104880,15740683,16972205,17114633,16972205
Honda,PCX 160 CBS,2022,32079000,26000000,3211522,2886748,23418757,3207900,22455300,20787192,22220416,24866125,25427454,24866125
Honda,Supra 150,2023,25180000,15000000,2520843,2265916,20648169,2518000,20144000,18129600,19640590,16392177,14669685,14669685
Yamaha,MioJ CW Teen,2013,13100000,5900000,1311479,1178852,13099992,1310000,13099992,3288735,9829573,7078872,5770076,5770076
Yamaha,Fazzio Hybrid Neo,2025,23900000,19000000,2392699,2150730,23900000,2390000,23900000,19120000,22306667,19992000,18581601,18581601
Honda,BeAT CBS,2021,16665000,12000000,1668382,1499662,10666353,1666500,9999000,9719028,10128127,11438438,11735748,11438438
Honda,PCX 150 CBS,2020,29843000,21100000,2987670,2685533,16415335,2984300,14921500,15663994,15666943,19470083,20635357,19470083
Honda,BeAT CBS,2015,14350000,9800000,1436620,1291338,14349992,1435000,14349992,4447587,11049190,10174757,9584194,9584194
Yamaha,AEROX STD,2018,23350000,15500000,2337637,2101236,8641346,2335000,7005000,9927318,8524554,13407366,15158675,13407366
Honda,Genio CBS,2024,19355000,13500000,1937685,1741731,17613269,1935500,17419500,15484000,16838923,14501677,13202717,13202717
Yamaha,LEXI 155,2024,25650000,19300000,2567896,2308210,23341790,2565000,23085000,20520000,22315597,20204679,18874995,18874995
Honda,Vario 125 CBS,2022,22009000,17700000,2203385,1980561,16067316,2200900,15406300,14261832,15245149,16963545,17310228,16963545
Honda,BeAT CBS,2020,16450000,11000000,1646857,1480314,9048429,1645000,8225000,8634276,8635902,10290770,10757769,10290770
Yamaha,LEXi 125 S,2020,24345000,14000000,2437249,2190775,13391124,2434500,12172500,12778204,12780609,13634183,13691706,13634183
Honda,Scoopy ,2020,19750000,14000000,1977230,1777277,10863615,1975000,9875000,10366380,10368332,12910500,13691706,12910500
Yamaha,LEXi 125 S,2019,24000000,15800000,2402710,2159729,11041626,2400000,9600000,11337408,10659678,14257903,15452068,14257903
Honda,Supra 150 Exclusive,2016,21500000,8900000,2152428,1934757,21499992,2150000,21499992,7404036,16801340,11270402,8704013,8704013
Yamaha,XSR 155,2022,37235000,25700000,3727704,3350730,27182811,3723500,26064500,24128280,25791864,25727559,25134061,25134061
Kawasaki,W175 Cafe,2019,32600000,17800000,3263681,2933632,14998209,3260000,13040000,15399979,14479396,16803819,17408026,16803819
Honda,Genio CBS,2023,19060000,13000000,1908152,1715185,15629630,1906000,15248000,13723200,14866943,13560083,12713727,12713727
Yamaha,Fino ,2021,18995000,10000000,1901645,1709336,12157658,1899500,11397000,11077884,11544181,10463254,9779790,9779790
Honda,CB 150R,2019,27875000,12800000,2790648,2508435,12824389,2787500,11150000,13167927,12380772,12674232,12518131,12674232
